BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV,score_category
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,314.058348,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a little,Some lessons,Agree a lot,Agree a lot,376.303092,1
No,None or very few (0–10 books),Agree a little,Agree a little,A few times a year,Agree a little,Disagree a lot,Every or almost every lesson,Agree a little,Agree a lot,283.62660400000004,1
No,Enough to fill one shelf (11–25 books),Disagree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,407.428348,2
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Disagree a lot,A few times a year,Agree a lot,Disagree a lot,Every or almost every lesson,Agree a little,Agree a lot,478.981628,3
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,381.03018600000007,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Disagree a little,391.794612,1
Yes,Enough to fill two bookcases (101–200 books),Disagree a little,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,455.6876,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,383.33671,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,About half the lessons,Agree a lot,Agree a lot,366.74104,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,A few times a year,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,470.66784000000007,2
No,None or very few (0–10 books),Disagree a little,Disagree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,399.2415440000001,1
No,None or very few (0–10 books),Agree a lot,Disagree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,369.583708,1
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,397.72923,1
Yes,None or very few (0–10 books),Disagree a lot,Disagree a lot,Once or twice a month,Disagree a lot,Agree a lot,Never,Agree a lot,Agree a lot,405.114386,2
Yes,None or very few (0–10 books),Disagree a little,Disagree a lot,A few times a year,Disagree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,377.32571,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,332.113876,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,335.66085400000003,1
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Disagree a little,383.09897,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,400.87543,2
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Agree a little,Never,Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,364.903962,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,388.246002,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,456.09068800000006,2
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,326.48543600000005,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,318.48926200000005,1
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,About half the lessons,Agree a lot,Agree a lot,424.718694,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,At least once a week,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,371.940462,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,454.03346,2
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,Once or twice a month,Agree a lot,Disagree a little,Some lessons,Agree a lot,Agree a lot,321.34500799999995,1
No,None or very few (0–10 books),Disagree a little,Disagree a little,A few times a year,Agree a little,Disagree a little,Every or almost every lesson,Agree a little,Agree a lot,351.028682,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,400.896426,2
Yes,None or very few (0–10 books),Disagree a little,Disagree a lot,A few times a year,Agree a little,Disagree a lot,Some lessons,Agree a little,Agree a lot,366.276204,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,399.615396,1
